timestamp,alert_name,severity,status,source,duration_minutes
2026-02-01 00:14:00,filesystem-full,critical,firing,nagios,103
2026-02-01 00:20:00,memory-swap-high,medium,resolved,prometheus,1
2026-02-01 00:35:00,memory-swap-high,medium,resolved,prometheus,4
2026-02-01 00:36:00,api-latency-threshold,high,firing,datadog,5
2026-02-01 00:49:00,service-down,critical,firing,healthcheck,61
2026-02-01 00:50:00,test-alert-dev,low,firing,test-system,5
2026-02-01 01:05:00,log-rotation-complete,low,firing,system,2
2026-02-01 01:08:00,disk-80-percent,medium,resolved,prometheus,7
2026-02-01 01:10:00,cpu-utilization-cloudwatch,critical,firing,cloudwatch,71
2026-02-01 01:31:00,memory-swap-high,medium,resolved,prometheus,5
2026-02-01 01:52:00,memory-swap-high,medium,resolved,prometheus,7
2026-02-01 01:53:00,disk-80-percent,medium,resolved,prometheus,6
2026-02-01 01:54:00,cpu-alert-grafana,critical,firing,grafana,40
2026-02-01 02:03:00,api-latency-threshold,high,resolved,datadog,1
2026-02-01 02:04:00,cpu-high-prometheus,critical,firing,prometheus,22
2026-02-01 02:32:00,memory-swap-high,medium,resolved,prometheus,6
2026-02-01 02:34:00,payment-processing-failed,critical,firing,payment-gateway,98
2026-02-01 02:41:00,disk-space-critical,critical,firing,splunk,127
2026-02-01 02:41:00,info-deployment-success,low,firing,ci-cd,3
2026-02-01 03:05:00,high-cpu-datadog,critical,firing,datadog,88
2026-02-01 03:39:00,disk-80-percent,medium,resolved,prometheus,10
2026-02-01 04:05:00,memory-swap-high,medium,resolved,prometheus,4
2026-02-01 04:08:00,cpu-high-prometheus,critical,firing,prometheus,105
2026-02-01 04:26:00,disk-80-percent,medium,resolved,prometheus,2
2026-02-01 05:04:00,api-latency-threshold,high,firing,datadog,9
2026-02-01 05:36:00,cpu-threshold-nagios,critical,firing,nagios,62
2026-02-01 05:54:00,memory-swap-high,medium,firing,prometheus,13
2026-02-01 06:10:00,log-rotation-complete,low,firing,system,4
2026-02-01 06:14:00,test-alert-dev,low,firing,test-system,5
2026-02-01 06:25:00,disk-80-percent,medium,firing,prometheus,5
2026-02-01 06:30:00,api-latency-threshold,high,resolved,datadog,1
2026-02-01 06:32:00,mem-utilization-high,high,firing,datadog,85
2026-02-01 06:41:00,high-memory-usage,high,firing,prometheus,45
2026-02-01 06:50:00,cpu-high-prometheus,critical,firing,prometheus,15
2026-02-01 06:58:00,cpu-high-prometheus,critical,firing,prometheus,40
2026-02-01 07:09:00,log-rotation-complete,low,firing,system,4
2026-02-01 07:16:00,cpu-threshold-nagios,critical,firing,nagios,106
2026-02-01 08:01:00,cpu-threshold-nagios,critical,firing,nagios,32
2026-02-01 08:06:00,disk-80-percent,medium,resolved,prometheus,1
2026-02-01 08:37:00,disk-alert-prometheus,critical,firing,prometheus,158
2026-02-01 08:39:00,api-latency-threshold,high,firing,datadog,10
2026-02-01 08:52:00,cpu-alert-grafana,critical,firing,grafana,96
2026-02-01 08:52:00,backup-completed,low,firing,backup-system,1
2026-02-01 09:04:00,cpu-threshold-nagios,critical,firing,nagios,62
2026-02-01 09:33:00,cpu-utilization-cloudwatch,critical,firing,cloudwatch,44
2026-02-01 09:51:00,api-latency-threshold,high,resolved,datadog,9
2026-02-01 09:58:00,test-alert-dev,low,firing,test-system,1
2026-02-01 10:02:00,log-rotation-complete,low,firing,system,2
2026-02-01 10:28:00,memory-swap-high,medium,resolved,prometheus,5
2026-02-01 10:33:00,certificate-expiry-90days,low,firing,security,3
2026-02-01 10:35:00,certificate-expiry-90days,low,firing,security,2
2026-02-01 10:53:00,high-memory-usage,high,firing,prometheus,22
2026-02-01 11:00:00,backup-completed,low,firing,backup-system,4
2026-02-01 11:05:00,cpu-utilization-cloudwatch,critical,firing,cloudwatch,91
2026-02-01 11:26:00,api-latency-threshold,high,resolved,datadog,9
2026-02-01 12:12:00,disk-80-percent,medium,firing,prometheus,13
2026-02-01 13:07:00,high-cpu-datadog,critical,firing,datadog,33
2026-02-01 13:13:00,memory-swap-high,medium,firing,prometheus,13
2026-02-01 13:16:00,health-check-success,low,firing,monitoring,2
2026-02-01 13:21:00,memory-swap-high,medium,resolved,prometheus,4
2026-02-01 13:27:00,memory-alert-cloudwatch,high,firing,cloudwatch,25
2026-02-01 13:32:00,backup-completed,low,firing,backup-system,2
2026-02-01 13:51:00,health-check-success,low,firing,monitoring,4
2026-02-01 14:13:00,backup-completed,low,firing,backup-system,3
2026-02-01 14:14:00,disk-80-percent,medium,resolved,prometheus,9
2026-02-01 14:21:00,disk-alert-prometheus,critical,firing,prometheus,132
2026-02-01 14:24:00,health-check-success,low,firing,monitoring,3
2026-02-01 14:31:00,memory-alert-cloudwatch,high,firing,cloudwatch,32
2026-02-01 14:41:00,certificate-expiry-90days,low,firing,security,5
2026-02-01 14:48:00,high-cpu-datadog,critical,firing,datadog,55
2026-02-01 14:49:00,info-deployment-success,low,firing,ci-cd,5
2026-02-01 15:13:00,health-check-success,low,firing,monitoring,4
2026-02-01 15:31:00,cpu-alert-grafana,critical,firing,grafana,91
2026-02-01 15:51:00,memory-threshold-exceeded,high,firing,grafana,61
2026-02-01 15:51:00,disk-space-critical,critical,firing,splunk,90
2026-02-01 16:19:00,api-latency-threshold,high,firing,datadog,15
2026-02-01 16:28:00,disk-utilization-high,critical,firing,cloudwatch,75
2026-02-01 16:30:00,api-latency-threshold,high,firing,datadog,14
2026-02-01 16:33:00,backup-completed,low,firing,backup-system,2
2026-02-01 16:41:00,memory-swap-high,medium,resolved,prometheus,8
2026-02-01 16:47:00,memory-threshold-exceeded,high,firing,grafana,41
2026-02-01 16:49:00,certificate-expiry-90days,low,firing,security,2
